season,team,wins,max_round
20052006,DET,2,1
20052006,EDM,15,4
20052006,DAL,1,1
20052006,COL,4,2
20052006,OTT,5,2
20052006,TBL,1,1
20052006,CAR,16,4
20052006,MTL,2,1
20052006,CGY,3,1
20052006,ANA,9,3
20052006,NSH,1,1
20052006,SJS,6,2
20052006,NJD,5,2
20052006,NYR,0,1
20052006,BUF,11,3
20052006,PHI,2,1
20062007,DET,10,3
20062007,CGY,2,1
20062007,ANA,16,4
20062007,MIN,1,1
20062007,BUF,9,3
20062007,NYI,1,1
20062007,NJD,5,2
20062007,TBL,2,1
20062007,VAN,5,2
20062007,DAL,3,1
20062007,NSH,1,1
20062007,SJS,6,2
20062007,ATL,0,1
20062007,NYR,6,2
20062007,OTT,13,4
20062007,PIT,1,1
20072008,DET,16,4
20072008,NSH,2,1
20072008,SJS,6,2
20072008,CGY,3,1
20072008,MTL,5,2
20072008,BOS,3,1
20072008,PIT,14,4
20072008,OTT,0,1
20072008,MIN,2,1
20072008,COL,4,2
20072008,ANA,2,1
20072008,DAL,10,3
20072008,WSH,3,1
20072008,PHI,9,3
20072008,NJD,1,1
20072008,NYR,5,2
20082009,SJS,2,1
20082009,ANA,7,2
20082009,DET,15,4
20082009,CBJ,0,1
20082009,BOS,7,2
20082009,MTL,0,1
20082009,WSH,7,2
20082009,NYR,3,1
20082009,VAN,6,2
20082009,STL,0,1
20082009,CHI,9,3
20082009,CGY,2,1
20082009,NJD,3,1
20082009,CAR,8,3
20082009,PIT,16,4
20082009,PHI,2,1
20092010,SJS,8,3
20092010,COL,2,1
20092010,CHI,16,4
20092010,NSH,2,1
20092010,WSH,3,1
20092010,MTL,9,3
20092010,NJD,1,1
20092010,PHI,14,4
20092010,VAN,6,2
20092010,LAK,2,1
20092010,PHX,3,1
20092010,DET,5,2
20092010,BUF,2,1
20092010,BOS,7,2
20092010,PIT,7,2
20092010,OTT,2,1
20102011,VAN,15,4
20102011,CHI,3,1
20102011,SJS,9,3
20102011,LAK,2,1
20102011,WSH,4,2
20102011,NYR,1,1
20102011,PHI,4,2
20102011,BUF,3,1
20102011,DET,7,2
20102011,PHX,0,1
20102011,ANA,2,1
20102011,NSH,6,2
20102011,BOS,16,4
20102011,MTL,3,1
20102011,PIT,3,1
20102011,TBL,11,3
20112012,VAN,1,1
20112012,LAK,16,4
20112012,STL,4,2
20112012,SJS,1,1
20112012,NYR,10,3
20112012,OTT,3,1
20112012,BOS,3,1
20112012,WSH,7,2
20112012,PHX,9,3
20112012,CHI,2,1
20112012,NSH,5,2
20112012,DET,1,1
20112012,FLA,3,1
20112012,NJD,14,4
20112012,PIT,2,1
20112012,PHI,5,2
20122013,CHI,16,4
20122013,MIN,1,1
20122013,ANA,3,1
20122013,DET,7,2
20122013,PIT,8,3
20122013,NYI,2,1
20122013,MTL,1,1
20122013,OTT,5,2
20122013,VAN,0,1
20122013,SJS,7,2
20122013,STL,2,1
20122013,LAK,9,3
20122013,WSH,3,1
20122013,NYR,5,2
20122013,BOS,14,4
20122013,TOR,3,1
20132014,COL,3,1
20132014,MIN,6,2
20132014,STL,2,1
20132014,CHI,11,3
20132014,BOS,7,2
20132014,DET,1,1
20132014,TBL,0,1
20132014,MTL,10,3
20132014,ANA,7,2
20132014,DAL,2,1
20132014,SJS,3,1
20132014,LAK,16,4
20132014,PIT,7,2
20132014,CBJ,2,1
20132014,NYR,13,4
20132014,PHI,3,1
20142015,STL,2,1
20142015,MIN,4,2
20142015,NSH,2,1
20142015,CHI,16,4
20142015,MTL,6,2
20142015,OTT,2,1
20142015,TBL,14,4
20142015,DET,3,1
20142015,ANA,11,3
20142015,WPG,0,1
20142015,VAN,2,1
20142015,CGY,5,2
20142015,NYR,11,3
20142015,PIT,1,1
20142015,WSH,7,2
20142015,NYI,3,1
20152016,DAL,7,2
20152016,MIN,2,1
20152016,STL,10,3
20152016,CHI,3,1
20152016,FLA,2,1
20152016,NYI,5,2
20152016,TBL,11,3
20152016,DET,1,1
20152016,ANA,3,1
20152016,NSH,7,2
20152016,LAK,1,1
20152016,SJS,14,4
20152016,WSH,6,2
20152016,PHI,2,1
20152016,PIT,16,4
20152016,NYR,1,1
20162017,CHI,0,1
20162017,NSH,14,4
20162017,CAN,0,2
20162017,RUS,0,1
20162017,MIN,1,1
20162017,STL,6,2
20162017,SWE,0,1
20162017,EUR,0,2
20162017,MTL,2,1
20162017,NYR,6,2
20162017,OTT,11,3
20162017,BOS,2,1
20162017,ANA,10,3
20162017,CGY,0,1
20162017,EDM,7,2
20162017,SJS,2,1
20162017,WSH,7,2
20162017,TOR,2,1
20162017,PIT,16,4
20162017,CBJ,1,1
20172018,NSH,7,2
20172018,COL,2,1
20172018,WPG,9,3
20172018,MIN,1,1
20172018,TBL,11,3
20172018,NJD,1,1
20172018,BOS,5,2
20172018,TOR,3,1
20172018,VGK,13,4
20172018,LAK,0,1
20172018,ANA,0,1
20172018,SJS,6,2
20172018,WSH,16,4
20172018,CBJ,2,1
20172018,PIT,6,2
20172018,PHI,2,1
20182019,NSH,2,1
20182019,DAL,7,2
20182019,WPG,2,1
20182019,STL,16,4
20182019,TBL,0,1
20182019,CBJ,6,2
20182019,BOS,15,4
20182019,TOR,3,1
20182019,CGY,1,1
20182019,COL,7,2
20182019,SJS,10,3
20182019,VGK,3,1
20182019,WSH,3,1
20182019,CAR,8,3
20182019,NYI,4,2
20182019,PIT,0,1
20192020,PIT,1,0
20192020,MTL,5,1
20192020,CAR,4,1
20192020,NYR,0,0
20192020,NYI,13,3
20192020,FLA,1,0
20192020,TOR,2,0
20192020,CBJ,4,1
20192020,EDM,1,0
20192020,CHI,4,1
20192020,NSH,1,0
20192020,ARI,4,1
20192020,VAN,10,2
20192020,MIN,1,0
20192020,CGY,5,1
20192020,WPG,1,0
20192020,PHI,7,2
20192020,TBL,16,4
20192020,WSH,1,1
20192020,BOS,5,2
20192020,VGK,9,3
20192020,COL,7,2
20192020,DAL,14,4
20192020,STL,2,1
20202021,PIT,2,1
20202021,NYI,11,3
20202021,WSH,1,1
20202021,BOS,6,2
20202021,CAR,5,2
20202021,NSH,2,1
20202021,FLA,2,1
20202021,TBL,16,4
20202021,COL,6,2
20202021,STL,0,1
20202021,VGK,10,3
20202021,MIN,3,1
20202021,TOR,3,1
20202021,MTL,13,4
20202021,EDM,0,1
20202021,WPG,4,2
20212022,FLA,4,2
20212022,WSH,2,1
20212022,TOR,3,1
20212022,TBL,14,4
20212022,CAR,7,2
20212022,BOS,3,1
20212022,NYR,10,3
20212022,PIT,3,1
20212022,COL,16,4
20212022,NSH,0,1
20212022,MIN,2,1
20212022,STL,6,2
20212022,CGY,5,2
20212022,DAL,3,1
20212022,EDM,8,3
20212022,LAK,3,1
20222023,BOS,3,1
20222023,FLA,13,4
20222023,TOR,5,2
20222023,TBL,2,1
20222023,CAR,8,3
20222023,NYI,2,1
20222023,NJD,5,2
20222023,NYR,3,1
20222023,COL,3,1
20222023,SEA,7,2
20222023,DAL,10,3
20222023,MIN,2,1
20222023,VGK,16,4
20222023,WPG,1,1
20222023,EDM,6,2
20222023,LAK,2,1
20232024,FLA,16,4
20232024,TBL,1,1
20232024,BOS,6,2
20232024,TOR,3,1
20232024,NYR,10,3
20232024,WSH,0,1
20232024,CAR,6,2
20232024,NYI,1,1
20232024,DAL,10,3
20232024,VGK,3,1
20232024,WPG,1,1
20232024,COL,6,2
20232024,VAN,7,2
20232024,NSH,2,1
20232024,EDM,15,4
20232024,LAK,1,1
20242025,TOR,0,1
20242025,OTT,0,1
20242025,TBL,0,1
20242025,FLA,0,1
20242025,WSH,0,1
20242025,MTL,0,1
20242025,CAR,0,1
20242025,NJD,0,1
20242025,WPG,0,1
20242025,STL,0,1
20242025,DAL,0,1
20242025,COL,0,1
20242025,VGK,0,1
20242025,MIN,0,1
20242025,LAK,0,1
20242025,EDM,0,1
